WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Farm,10,11,10,13,73.5,70.91,82.5,83.0,24.68,23.89,16.45,14.89,21,23,72.14,82.78,23.69,15.22,9,9,9,10,24.78,34.56,51.33,34.3,19.05,28.43,25.74,20.62,18,19,29.67,42.37,24.01,24.16,0.0,0.0,,4,short_word,
Farn,10,11,11,11,78.2,83.09,86.45,85.0,16.62,18.64,19.51,15.19,21,22,80.76,85.73,17.44,17.08,8,10,11,8,27.25,20.3,38.0,36.5,23.55,30.13,24.33,27.07,18,19,23.39,37.37,26.86,24.79,0.0,0.0,nature_based_non_human,4,short_word,plant
Fasching,9,11,12,11,65.11,64.18,69.25,81.64,23.21,13.71,17.54,20.04,20,23,64.6,75.17,18.06,19.4,7,10,12,7,-13.86,23.7,18.75,31.57,32.5,44.2,42.5,62.19,17,19,8.24,23.47,43.1,49.33,0.0,0.0,,8,long_word,
Faser,10,10,14,9,59.9,65.5,76.64,67.89,31.34,18.28,20.72,31.43,20,23,62.7,73.22,25.14,25.14,9,9,10,9,9.0,4.44,12.0,8.44,18.73,15.48,17.01,25.86,18,19,6.72,10.32,16.83,21.1,0.0,0.0,,5,short_word,
Fass,11,9,10,13,85.64,84.44,96.2,86.08,14.19,15.61,4.92,23.55,20,23,85.1,90.48,14.45,18.4,9,9,8,11,5.22,4.78,31.5,18.0,27.82,7.61,31.86,15.03,18,19,5.0,23.68,19.79,23.82,0.0,0.0,,4,short_word,
Faultier,11,9,11,12,91.27,79.67,79.45,75.17,11.14,16.3,26.19,29.3,20,23,86.05,77.22,14.57,27.31,9,9,8,11,24.56,16.11,9.38,-7.73,47.92,44.22,52.75,24.22,18,19,20.33,-0.53,44.94,38.51,0.0,0.0,nature_based_non_human,8,long_word,
Faust,10,9,13,10,88.8,96.22,89.23,93.1,13.89,3.56,16.78,7.96,19,23,92.32,90.91,10.8,13.54,11,8,9,11,-9.18,-23.13,4.22,-11.82,28.46,21.42,36.73,42.5,19,20,-15.05,-4.6,26.05,39.82,0.0,0.0,,5,short_word,
Fax,12,9,11,12,79.83,82.11,66.0,76.75,26.37,18.97,33.89,29.98,21,23,80.81,71.61,22.98,31.65,9,10,9,10,5.89,-0.8,6.89,22.9,17.24,15.83,16.76,16.91,19,19,2.37,15.32,16.41,18.31,0.0,0.0,,3,short_word,
Faxgerät,11,8,11,12,84.82,85.0,85.73,84.67,13.7,18.58,25.7,20.43,19,23,84.89,85.17,15.44,22.57,9,10,8,11,-0.89,0.7,16.0,17.91,18.13,20.62,26.03,20.94,19,19,-0.05,17.11,18.95,22.54,0.0,0.0,,8,long_word,
Fechter,11,9,12,11,63.45,62.22,62.42,73.55,22.11,16.81,32.09,27.66,20,23,62.9,67.74,19.41,29.92,10,8,8,12,7.8,4.38,11.0,23.5,25.44,36.21,14.49,25.96,18,20,6.28,18.5,29.76,22.51,0.0,0.0,nature_based_human,7,long_word,
Feder,10,8,12,10,87.6,94.25,83.17,85.4,11.56,4.4,21.33,19.06,18,22,90.56,84.18,9.5,19.88,10,9,8,11,28.6,44.22,33.88,24.0,25.82,22.45,32.76,16.72,19,19,36.0,28.16,24.93,24.45,0.0,0.0,,5,short_word,
Fee,10,9,12,11,76.7,77.33,52.75,61.64,17.93,15.98,37.5,27.54,19,23,77.0,57.0,16.56,32.69,10,9,9,10,48.0,56.44,32.11,44.5,24.94,27.78,25.81,40.22,19,19,52.0,38.63,25.94,33.84,0.0,0.0,,3,short_word,
Feger,11,9,12,11,66.36,67.22,65.17,68.55,16.29,30.31,31.12,33.07,20,23,66.75,66.78,22.95,31.38,8,10,9,10,-5.25,-5.1,5.0,1.4,34.41,18.05,12.67,30.3,18,19,-5.17,3.11,25.69,23.1,0.0,0.0,nature_based_human,5,short_word,
Feier,10,10,10,13,52.6,49.9,71.9,61.54,27.37,24.83,29.09,32.55,20,23,51.25,66.04,25.47,30.85,8,10,10,8,40.0,46.7,61.0,52.25,55.7,33.38,19.27,38.66,18,18,43.72,57.11,43.35,28.84,0.0,0.0,,5,short_word,
Feigling,11,10,12,11,38.64,32.1,43.33,46.18,23.67,30.63,22.79,30.84,21,23,35.52,44.7,26.71,26.34,8,11,9,10,-40.25,-49.0,-53.33,-39.9,27.73,27.77,24.66,30.18,19,19,-45.32,-46.26,27.34,27.81,0.0,0.0,nature_based_human,8,long_word,
Feile,10,9,10,12,88.6,92.44,94.0,83.08,15.69,7.63,10.67,21.43,19,22,90.42,88.05,12.36,17.9,8,10,8,11,-2.5,1.0,22.63,9.27,28.24,12.66,35.28,15.79,18,19,-0.56,14.89,20.41,25.85,0.0,0.0,,5,short_word,
Feld,11,9,12,11,76.82,80.44,89.17,80.0,20.23,14.55,16.04,22.54,20,23,78.45,84.78,17.55,19.53,10,8,9,10,23.2,17.88,31.89,22.2,17.27,14.98,23.02,22.55,18,19,20.83,26.79,16.05,22.69,0.0,0.0,,4,short_word,
Fell,10,10,12,10,73.2,82.5,95.75,85.8,17.93,16.56,6.45,15.65,20,22,77.85,91.23,17.46,12.35,8,10,10,10,28.88,43.1,33.0,40.0,32.83,31.98,21.07,23.63,18,20,36.78,36.5,32.22,22.08,0.0,0.0,,4,short_word,
Fels,10,9,13,10,89.6,87.22,90.85,86.5,7.2,12.5,15.24,14.27,19,23,88.47,88.96,9.84,14.66,8,10,7,11,41.88,24.0,13.86,13.09,30.68,25.18,29.64,47.38,18,18,31.94,13.39,28.41,40.38,0.0,0.04,,4,short_word,
Fenster,12,8,13,10,88.92,92.13,97.23,88.6,10.09,11.04,2.92,13.08,20,23,90.2,93.48,10.31,9.69,9,10,8,11,28.22,41.7,30.5,39.45,18.21,37.55,25.34,25.94,19,19,35.32,35.68,30.0,25.38,0.0,0.0,,7,long_word,
Ferien,10,9,12,11,49.3,40.44,47.17,68.0,25.07,26.06,34.5,31.96,19,23,45.11,57.13,25.23,34.24,9,9,9,9,63.78,77.67,72.11,74.33,32.48,27.89,31.68,25.96,18,18,70.72,73.22,30.23,28.12,0.0,0.0,,6,short_word,
Ferkel,10,10,12,11,89.4,87.7,97.33,91.0,9.2,10.91,4.29,10.71,20,23,88.55,94.3,9.86,8.48,9,9,9,10,32.67,20.22,41.44,13.1,22.64,17.44,34.08,34.94,18,19,26.44,26.53,20.63,36.58,0.0,0.0,nature_based_non_human,6,short_word,
Fernrohr,10,11,12,11,87.1,91.27,97.08,90.45,14.93,6.66,4.68,8.23,21,23,89.29,93.91,11.27,7.29,9,10,9,10,27.78,29.1,36.78,31.3,15.32,24.07,27.62,22.45,19,19,28.47,33.89,19.86,24.47,0.0,0.0,,8,long_word,
Fernseher,11,9,12,11,93.27,93.33,97.08,92.82,7.13,8.94,5.73,8.93,20,23,93.3,95.04,7.77,7.58,9,9,9,10,1.33,22.78,31.67,46.7,45.51,16.3,13.39,27.68,18,19,12.06,39.58,34.95,22.86,0.0,0.0,nature_based_human,9,long_word,
Ferse,10,10,11,12,69.7,78.0,86.36,89.83,27.37,15.74,16.38,12.7,20,23,73.85,88.17,22.15,14.34,8,10,11,8,-5.75,-3.5,0.0,13.25,18.45,11.51,25.87,11.9,18,19,-4.5,5.58,14.55,21.73,0.0,0.0,,5,short_word,
Fertigung,9,11,13,10,41.44,13.45,54.0,51.8,30.39,11.68,30.96,33.99,20,23,26.05,53.04,25.79,31.57,9,10,9,10,-3.89,-1.9,18.67,18.4,33.3,26.75,22.44,13.85,19,19,-2.84,18.53,29.18,17.88,0.0,0.0,,9,long_word,
Fessel,10,10,12,11,81.1,81.4,64.33,80.09,19.45,12.34,23.96,20.38,20,23,81.25,71.87,15.85,23.25,8,10,10,9,-8.5,-54.1,-59.7,-63.56,39.85,31.07,25.23,25.53,18,19,-33.83,-61.53,41.34,24.74,0.0,0.0,,6,short_word,
Fest,10,11,12,11,58.3,69.09,74.42,74.0,27.85,16.26,24.71,25.14,21,23,63.95,74.22,22.62,24.34,10,8,9,10,44.5,59.38,60.89,72.5,36.2,36.78,25.4,18.17,18,19,51.11,67.0,36.18,22.08,0.0,0.0,,4,short_word,
Festessen,11,9,12,11,68.0,77.0,77.92,74.27,26.73,13.8,17.8,29.95,20,23,72.05,76.17,21.85,23.87,8,10,10,9,47.75,60.7,59.3,68.67,35.76,36.02,42.9,27.04,18,19,54.94,63.74,35.46,35.61,0.0,0.0,,9,long_word,
Fetzen,11,11,13,10,64.64,72.36,72.46,75.0,23.01,27.11,29.55,29.77,22,23,68.5,73.57,24.86,28.99,8,10,8,11,-7.5,-24.1,-14.75,-25.55,26.46,22.98,26.82,21.29,18,19,-16.72,-21.0,25.3,23.69,0.0,0.0,,6,short_word,
Feuer,12,9,13,10,89.25,92.89,93.85,87.7,11.06,9.53,9.94,25.19,21,23,90.81,91.17,10.35,17.98,8,11,9,10,20.0,17.64,-35.78,-16.7,53.81,69.41,56.09,62.43,19,19,18.63,-25.74,61.68,58.67,0.0,0.0,,5,short_word,
Feuerwehr,11,8,12,11,82.27,80.63,97.08,86.91,15.3,19.16,4.32,15.97,19,23,81.58,92.22,16.54,12.34,8,10,11,10,29.63,-0.4,38.55,2.2,43.29,40.11,43.57,63.53,18,21,12.94,21.24,43.12,55.78,0.0,0.0,,9,long_word,
Feuerzeug,9,11,12,11,90.89,93.82,96.0,89.45,12.06,7.92,7.75,16.47,20,23,92.5,92.87,9.82,12.83,8,10,9,10,18.25,1.7,7.0,-3.4,16.8,30.45,30.92,13.19,18,19,9.06,1.53,26.05,23.25,0.0,0.0,,9,long_word,
Fichte,11,9,12,11,86.64,74.67,87.0,89.27,6.31,17.83,15.56,11.76,20,23,81.25,88.09,13.86,13.61,9,10,10,9,33.67,18.6,51.3,36.78,24.09,19.82,24.62,17.64,19,19,25.74,44.42,22.67,22.29,0.0,0.0,nature_based_non_human,6,short_word,plant
Fieber,10,10,12,11,45.4,42.7,62.92,64.91,32.09,25.7,34.4,28.19,20,23,44.05,63.87,28.33,30.88,8,10,8,11,-55.25,-45.5,-53.88,-55.09,18.34,35.95,24.12,25.82,18,19,-49.83,-54.58,29.12,24.43,0.0,0.0,,6,short_word,
Fiedel,10,11,12,10,74.8,72.27,78.75,77.4,17.71,19.41,26.52,24.19,21,22,73.48,78.14,18.2,24.89,9,10,10,9,15.78,11.3,21.0,16.33,14.76,17.1,35.42,20.59,19,19,13.42,18.79,15.76,28.66,0.0,0.0,,6,short_word,
Figur,11,8,11,11,45.64,61.5,73.73,79.18,28.37,16.0,23.43,23.8,19,22,52.32,76.45,24.73,23.21,9,10,10,9,5.67,19.5,23.2,32.22,27.83,14.78,23.62,31.06,19,19,12.95,27.47,22.44,27.0,0.0,0.0,nature_based_human,5,short_word,
Film,11,8,11,12,73.0,87.13,76.91,87.67,16.74,21.4,24.67,18.12,19,23,78.95,82.52,19.62,21.7,8,11,8,11,32.5,58.09,24.75,43.73,32.93,28.58,24.68,27.34,19,19,47.32,35.74,32.31,27.29,0.0,0.0,,4,short_word,
Filter,10,11,11,12,72.1,75.82,88.73,80.25,31.72,20.75,15.25,25.58,21,23,74.05,84.3,25.91,21.25,9,9,10,9,1.67,8.56,21.6,24.22,18.73,9.13,20.83,28.29,18,19,5.11,22.84,14.73,23.97,0.0,0.0,,6,short_word,
Filz,10,10,12,11,54.0,75.3,65.58,79.09,35.53,13.86,22.89,28.63,20,23,64.65,72.04,28.43,26.12,10,9,9,10,0.9,-9.33,-10.78,3.5,43.98,54.15,21.0,30.0,19,19,-3.95,-3.26,47.94,26.46,0.0,0.0,nature_based_human,4,short_word,
Findigkeit,10,12,12,11,19.8,4.17,23.08,31.18,27.14,6.16,22.23,29.46,22,23,11.27,26.96,19.97,25.66,9,9,9,10,28.33,12.33,37.44,32.0,20.52,26.84,22.25,36.75,18,19,20.33,34.58,24.59,30.05,0.0,0.0,,10,long_word,
Finger,11,10,13,10,92.0,94.7,97.54,93.8,13.63,6.2,3.57,10.23,21,23,93.29,95.91,10.59,7.3,10,8,8,11,18.9,20.63,25.13,37.45,27.42,34.78,29.19,30.14,18,19,19.67,32.26,29.95,29.58,0.0,0.0,,6,short_word,
Fink,10,10,12,11,65.8,78.0,92.92,82.64,29.42,19.99,7.62,19.93,20,23,71.9,88.0,25.27,15.4,9,9,10,9,16.89,20.78,54.9,46.0,5.06,21.82,25.75,26.87,18,19,18.83,50.68,15.5,25.95,0.0,0.0,nature_based_non_human,4,short_word,
Firma,11,9,11,12,37.27,37.78,46.91,63.75,19.91,31.04,28.02,34.1,20,23,37.5,55.7,24.78,31.82,9,10,10,9,-4.67,-6.5,21.7,6.44,33.49,20.5,23.87,28.25,19,19,-5.63,14.47,26.64,26.48,0.0,0.0,,5,short_word,
Firmament,9,10,12,11,59.0,58.7,73.83,69.09,30.16,22.53,26.23,29.98,19,23,58.84,71.57,25.65,27.54,9,10,9,10,33.78,32.0,52.78,33.8,22.99,27.44,28.71,36.34,19,19,32.84,42.79,24.74,33.49,0.04,0.0,,9,long_word,
Fisch,11,9,12,11,90.09,88.44,96.58,90.45,10.29,15.0,7.17,13.39,20,23,89.35,93.65,12.3,10.82,7,11,8,11,21.86,24.91,38.88,51.09,43.49,22.88,42.94,38.65,18,19,23.72,45.95,31.27,39.81,0.0,0.0,nature_based_non_human,5,short_word,
Fischer,11,9,11,12,78.36,83.67,79.18,80.92,18.63,11.01,25.18,21.55,20,23,80.75,80.09,15.53,22.83,10,8,9,10,16.8,22.13,40.22,33.8,23.19,20.9,31.0,21.7,18,19,19.17,36.84,21.73,25.95,0.0,0.0,nature_based_human,7,long_word,
Fläche,11,9,12,11,48.09,60.33,70.08,73.09,28.08,26.55,25.52,29.41,20,23,53.6,71.52,27.4,26.85,9,9,9,10,2.33,2.78,8.44,18.1,18.8,5.26,11.95,24.66,18,19,2.56,13.53,13.4,19.8,0.0,0.0,,6,short_word,
Flagge,9,11,14,10,88.11,86.36,90.86,90.0,9.69,14.2,11.76,11.94,20,24,87.15,90.5,12.1,11.58,10,8,10,9,10.2,-4.75,20.8,13.22,33.01,19.11,27.2,27.48,18,19,3.56,17.21,28.03,26.84,0.0,0.0,,6,short_word,
Flamingo,11,10,13,10,88.73,92.5,94.85,84.4,12.11,7.32,8.63,24.65,21,23,90.52,90.3,10.06,17.81,9,9,9,10,36.33,46.78,66.0,43.6,27.79,43.22,22.84,22.76,18,19,41.56,54.21,35.66,24.96,0.0,0.0,nature_based_non_human,8,long_word,
Flamme,11,10,11,12,85.91,88.8,94.0,83.83,16.33,10.32,8.47,12.18,21,23,87.29,88.7,13.54,11.57,8,10,9,10,26.38,4.8,-13.11,2.4,49.74,48.15,54.15,56.03,18,19,14.39,-4.95,48.66,54.19,0.0,0.0,nature_based_human,6,short_word,
Flanell,11,7,11,12,42.82,71.43,59.82,84.17,29.38,20.83,30.72,22.78,18,23,53.94,72.52,29.44,29.03,10,8,9,10,13.0,26.38,27.89,31.7,26.78,25.1,19.9,33.1,18,19,18.94,29.89,26.19,26.97,0.0,0.0,,7,long_word,
Flasche,11,8,12,11,88.91,92.13,97.17,87.55,13.05,10.26,3.51,20.28,19,23,90.26,92.57,11.76,14.74,10,8,8,11,9.5,10.5,26.25,25.27,27.73,15.76,25.49,19.27,18,19,9.94,25.68,22.57,21.43,0.0,0.0,nature_based_human,7,long_word,
Flaum,10,11,10,12,61.6,73.82,73.2,69.75,34.29,16.72,23.37,32.05,21,22,68.0,71.32,26.61,27.84,9,9,10,9,22.0,14.89,20.9,28.56,33.93,43.94,26.3,27.36,18,19,18.44,24.53,38.26,26.34,0.0,0.04,,5,short_word,
Fleck,9,11,12,10,72.89,85.18,87.83,86.0,27.87,18.41,13.2,17.37,20,22,79.65,87.0,23.34,14.88,10,8,9,10,-4.4,-22.0,-28.67,-34.9,16.28,15.86,40.12,32.36,18,19,-12.22,-31.95,18.02,35.34,0.0,0.0,,5,short_word,
Fledermaus,12,9,12,11,93.33,96.22,94.75,87.18,7.39,4.38,12.42,13.73,21,23,94.57,91.13,6.31,13.33,8,10,9,10,17.88,21.1,21.78,-7.8,54.02,42.28,61.61,40.35,18,19,19.67,6.21,46.37,52.26,0.0,0.0,nature_based_non_human,10,long_word,
Fleisch,10,10,14,9,85.5,90.8,90.79,91.44,11.49,7.61,12.47,10.0,20,23,88.15,91.04,9.87,11.33,10,8,9,10,16.6,7.5,44.67,20.0,27.16,22.63,30.44,32.06,18,19,12.56,31.68,24.96,32.95,0.0,0.0,,7,long_word,
Fleischer,12,8,13,9,78.83,69.63,85.85,73.33,20.28,24.11,20.66,28.05,20,22,75.15,80.73,21.76,24.15,11,8,10,10,-7.27,-29.13,21.0,7.9,34.03,29.43,27.26,44.54,19,20,-16.47,14.45,33.21,36.56,0.0,0.0,nature_based_human,9,long_word,
Fleiß,10,8,11,12,34.2,24.5,54.91,45.33,32.68,19.53,34.55,34.43,18,23,29.89,49.91,27.33,34.05,9,9,9,11,26.22,19.67,54.56,51.45,27.43,53.76,29.8,32.74,18,20,22.94,52.85,41.54,30.67,0.0,0.0,,5,short_word,
Flieder,10,11,12,11,75.7,86.09,94.67,91.0,22.11,15.52,8.05,8.58,21,23,81.14,92.91,19.2,8.33,10,8,9,10,32.1,36.75,59.33,57.4,12.4,25.05,27.71,18.41,18,19,34.17,58.32,18.59,22.62,0.0,0.0,nature_based_non_human,7,long_word,plant
Fliege,9,10,12,10,92.11,95.6,97.5,85.3,9.92,4.55,4.1,24.14,19,22,93.95,91.95,7.57,17.24,9,10,9,10,-12.89,-10.5,-16.22,-24.1,26.79,18.77,24.11,33.78,19,19,-11.63,-20.37,22.29,29.07,0.0,0.0,nature_based_non_human,6,short_word,
Fließband,10,9,13,10,72.7,76.11,82.54,75.0,23.61,19.5,17.63,22.1,19,23,74.32,79.26,21.23,19.59,9,9,9,10,-25.11,-43.67,-27.89,3.2,35.57,27.93,25.35,23.76,18,19,-34.39,-11.53,32.46,28.68,0.0,0.0,,9,long_word,
Flocke,9,12,12,12,82.33,79.25,87.58,85.83,13.16,15.72,17.66,22.11,21,24,80.57,86.71,14.41,19.59,9,9,10,9,22.78,36.0,24.0,30.33,27.25,32.37,15.47,25.42,18,19,29.39,27.0,29.81,20.43,0.0,0.0,,6,short_word,
Floh,11,9,10,12,85.0,79.67,81.2,84.33,20.02,28.24,26.3,23.26,20,22,82.6,82.91,23.54,24.13,10,9,10,9,-13.7,-20.0,-64.6,-66.56,48.62,32.92,35.8,26.16,19,19,-16.68,-65.53,40.91,30.76,0.0,0.0,nature_based_non_human,4,short_word,
Floß,9,10,13,10,86.11,82.5,94.31,87.3,15.18,17.56,5.95,15.29,19,23,84.21,91.26,16.12,11.29,10,9,10,9,31.1,25.56,35.5,22.11,20.22,27.34,28.34,12.29,19,19,28.47,29.16,23.34,22.71,0.0,0.0,,4,short_word,
Flöte,10,10,12,10,92.3,96.9,97.17,91.1,7.72,4.25,3.24,8.63,20,22,94.6,94.41,6.51,6.86,8,10,9,10,12.13,32.5,48.89,35.9,16.47,37.41,26.64,33.64,18,19,23.44,42.05,31.0,30.43,0.0,0.0,,5,short_word,
Flucht,10,9,12,11,56.4,28.78,48.92,61.09,28.54,21.9,27.77,31.54,19,23,43.32,54.74,28.66,29.6,9,9,9,10,-10.67,-34.11,-56.11,-66.5,42.36,44.14,37.86,24.17,18,19,-22.39,-61.58,43.67,30.94,0.0,0.0,,6,short_word,
Flug,12,8,12,11,62.25,60.13,69.08,69.27,31.31,16.49,32.28,28.45,20,23,61.4,69.17,25.86,29.82,8,10,9,10,38.0,32.7,22.33,44.5,54.4,43.18,31.84,32.63,18,19,35.06,34.0,47.04,33.35,0.0,0.0,,4,short_word,
Flugblatt,11,9,14,9,76.64,77.67,78.5,78.11,28.84,17.98,28.58,27.52,20,23,77.1,78.35,23.96,27.53,10,8,9,10,0.3,-3.75,-7.44,-0.2,39.12,19.69,24.29,16.87,18,19,-1.5,-3.63,31.21,20.45,0.0,0.0,,9,long_word,
Flügel,10,10,12,11,87.4,81.0,94.67,79.55,13.01,18.45,5.97,22.6,20,23,84.2,87.43,15.88,17.6,8,10,8,11,29.38,51.5,39.38,36.55,17.29,26.86,24.22,30.07,18,19,41.67,37.74,25.16,27.07,0.0,0.0,,6,short_word,
Flugzeug,11,10,10,13,94.45,94.3,98.9,90.46,7.22,5.87,2.33,14.61,21,23,94.38,94.13,6.45,11.7,9,10,9,10,35.44,40.6,37.67,51.3,43.16,33.54,29.12,33.87,19,19,38.16,44.84,37.38,31.61,0.0,0.0,,8,long_word,
Flur,10,10,11,11,71.6,74.3,86.55,83.27,25.44,21.69,16.78,21.39,20,22,72.95,84.91,23.05,18.84,9,9,9,10,-2.44,2.11,16.33,25.5,13.58,12.46,34.05,27.68,18,19,-0.17,21.16,12.86,30.34,0.0,0.0,,4,short_word,
Fluss,12,8,11,12,80.33,89.25,96.55,91.33,21.24,12.24,5.01,9.63,20,23,83.9,93.83,18.35,8.05,8,10,9,10,50.88,43.6,36.33,33.8,33.18,25.22,33.92,23.31,18,19,46.83,35.0,28.36,28.02,0.0,0.0,,5,short_word,
Flut,11,10,13,10,75.73,78.7,79.85,77.4,15.24,17.62,25.64,18.87,21,23,77.14,78.78,16.07,22.49,8,10,9,10,-2.63,-33.3,-26.56,-42.5,35.35,45.37,45.58,41.9,18,19,-19.67,-34.95,43.02,43.22,0.0,0.0,,4,short_word,
Fohlen,11,10,12,11,85.82,89.6,97.83,91.09,14.96,14.52,4.37,10.82,21,23,87.62,94.61,14.51,8.64,10,9,9,10,41.4,49.89,64.78,48.5,24.5,36.82,28.75,24.38,19,19,45.42,56.21,30.36,27.1,0.0,0.0,nature_based_non_human,6,short_word,
Folge,11,10,12,10,30.73,16.0,31.67,38.9,30.7,16.51,34.77,33.47,21,22,23.71,34.95,25.51,33.57,10,9,10,9,21.4,4.22,9.4,3.0,33.6,9.19,23.66,12.47,19,19,13.26,6.37,26.07,18.97,0.0,0.0,,5,short_word,
Folie,11,10,11,11,69.0,86.1,80.91,76.09,32.79,15.99,28.12,28.18,21,22,77.14,78.5,27.01,27.58,10,11,9,10,4.7,3.36,14.89,9.6,21.94,9.06,10.23,22.28,21,19,4.0,12.11,16.07,17.38,0.0,0.0,,5,short_word,
Forderung,10,9,12,11,18.9,16.11,26.75,29.55,19.49,16.05,30.57,22.62,19,23,17.58,28.09,17.51,26.49,13,13,12,13,-33.92,-48.0,-24.5,-18.92,23.15,25.8,45.96,39.52,26,25,-40.96,-21.6,25.06,41.91,0.0,0.0,,9,long_word,
Forelle,8,11,12,11,86.38,86.09,96.42,89.91,14.07,12.43,4.56,10.04,19,23,86.21,93.3,12.76,8.2,10,8,10,10,35.4,21.63,59.1,43.9,18.74,25.65,38.01,25.61,18,20,29.28,51.5,22.5,32.5,0.0,0.0,nature_based_non_human,7,long_word,
Form,10,10,13,9,58.0,41.1,48.46,43.78,26.89,15.68,31.55,33.1,20,22,49.55,46.55,23.11,31.49,12,6,10,10,7.25,10.67,18.7,17.8,20.33,25.65,29.12,19.12,18,20,8.39,18.25,21.54,23.98,0.0,0.0,,4,short_word,
Format,10,10,11,12,41.0,31.5,34.64,58.58,32.91,23.09,21.75,34.62,20,23,36.25,47.13,28.1,31.05,8,10,9,10,2.88,4.7,12.33,15.6,18.99,9.7,23.07,26.94,18,19,3.89,14.05,14.11,24.54,0.0,0.0,,6,short_word,
Forscher,9,11,13,10,46.0,56.0,73.54,65.0,30.57,24.71,28.59,31.29,20,23,51.5,69.83,27.22,29.42,10,8,9,10,36.5,23.5,37.78,39.2,30.79,29.41,25.96,24.71,18,19,30.72,38.53,30.03,24.6,0.0,0.0,nature_based_human,8,long_word,
Forschung,9,10,12,11,38.33,33.3,49.67,50.0,25.33,19.8,21.24,34.56,19,23,35.68,49.83,22.09,27.72,8,10,8,11,42.0,15.7,43.88,50.64,31.09,26.22,20.64,28.58,18,19,27.39,47.79,30.7,25.12,0.0,0.0,,9,long_word,
Förster,11,10,12,12,66.09,68.3,91.33,83.17,32.47,17.63,10.0,15.48,21,24,67.14,87.25,25.85,13.41,9,9,10,9,7.22,21.33,55.1,32.67,18.94,34.51,18.71,23.81,18,19,14.28,44.47,27.96,23.65,0.0,0.0,nature_based_human,7,long_word,
Fortdauer,10,9,10,12,9.0,12.78,27.5,35.92,10.94,16.45,30.44,30.67,19,22,10.79,32.09,13.56,30.14,10,8,10,9,16.3,7.75,9.9,10.89,29.43,20.15,18.3,23.6,18,19,12.5,10.37,25.39,20.38,0.0,0.0,,9,long_word,
Foto,8,10,11,11,89.25,82.9,87.64,91.73,12.67,15.87,20.33,8.91,18,22,85.72,89.68,14.49,15.46,10,8,8,11,41.6,37.88,33.75,53.73,28.1,26.56,28.02,31.63,18,19,39.94,45.32,26.68,31.04,0.0,0.0,,4,short_word,
Fotograf,9,9,12,10,75.78,66.11,90.5,83.4,20.39,28.04,8.6,23.15,18,22,70.94,87.27,24.3,16.78,9,9,9,10,24.0,39.33,27.33,21.9,41.89,31.85,13.91,26.18,18,19,31.67,24.47,36.95,20.89,0.0,0.0,nature_based_human,8,long_word,
Frack,9,10,11,12,75.89,88.2,86.27,86.42,25.35,10.9,23.98,16.69,19,23,82.37,86.35,19.62,20.02,10,9,8,11,0.1,10.67,21.0,24.73,30.28,43.62,29.26,28.48,19,19,5.11,23.16,36.52,28.05,0.0,0.0,,5,short_word,
Frage,14,15,15,17,42.43,51.13,41.6,49.18,29.15,22.48,31.47,30.99,29,32,46.93,45.63,25.82,30.95,13,13,12,13,2.31,2.0,26.33,25.23,35.18,37.2,37.1,36.16,26,25,2.15,25.76,35.47,35.85,0.0,0.03,,5,short_word,
Frau,10,10,12,11,79.9,83.0,93.58,86.18,20.58,17.64,8.21,26.43,20,23,81.45,90.04,18.72,19.12,9,9,9,10,65.67,42.89,75.89,59.6,19.94,33.65,19.06,31.48,18,19,54.28,67.32,29.28,26.95,0.0,0.0,nature_based_human,4,short_word,
Freiheit,11,8,12,11,41.27,30.25,47.25,55.09,31.0,24.94,28.15,32.7,19,23,36.63,51.0,28.41,29.97,8,11,8,11,73.0,80.73,92.75,78.0,38.78,34.37,9.57,28.76,19,19,77.47,84.21,35.44,23.47,0.0,0.0,,8,long_word,
Freund,9,12,13,9,57.56,46.67,58.46,78.78,26.9,28.56,33.85,26.4,21,22,51.33,66.77,27.73,32.01,13,13,12,13,69.46,85.92,85.25,80.31,23.0,16.13,13.46,30.33,26,25,77.69,82.68,21.2,23.44,0.0,0.0,nature_based_human,6,short_word,
Frevel,14,15,15,17,36.14,19.53,43.53,40.18,26.82,18.94,27.19,30.33,29,32,27.55,41.75,24.18,28.49,10,8,8,11,-35.3,-20.25,-38.38,-65.0,28.43,23.22,28.63,27.46,18,19,-28.61,-53.79,26.63,30.33,0.0,0.0,,6,short_word,
Frieden,11,10,12,11,25.36,26.9,44.58,56.55,15.9,26.66,30.87,34.69,21,23,26.1,50.3,21.14,32.57,9,10,9,10,66.78,67.9,88.56,86.6,20.34,41.26,16.82,18.73,19,19,67.37,87.53,32.18,17.38,0.0,0.0,,7,long_word,
