WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Weizen,13,8,12,10,76.69,81.0,93.67,90.9,15.16,16.93,7.14,10.81,21,22,78.33,92.41,15.58,8.87,10,8,9,10,34.8,16.63,49.11,28.7,22.75,16.07,16.78,32.29,18,19,26.72,38.37,21.61,27.5,0.0,0.0,nature_based_non_human,6,short_word,plant
Welle,11,10,12,11,81.64,88.8,95.17,78.82,20.02,13.15,11.22,22.01,21,23,85.05,87.35,17.08,18.78,10,8,9,10,27.4,45.38,8.44,31.6,48.18,36.16,45.21,29.57,18,19,35.39,20.63,43.03,38.56,0.0,0.0,,5,short_word,
Welt,14,15,15,17,84.57,85.2,83.27,71.12,23.24,15.72,13.05,19.91,29,32,84.9,76.81,19.35,17.87,13,13,12,13,24.62,35.08,25.58,29.38,40.0,34.74,29.13,36.97,26,25,29.85,27.56,37.09,32.8,0.0,0.0,,4,short_word,
Werbung,12,8,12,11,55.42,51.63,56.08,68.55,33.38,15.94,34.41,29.69,20,23,53.9,62.04,27.24,32.15,10,8,9,10,-32.9,-29.88,-10.78,-15.6,32.62,32.63,25.99,25.45,18,19,-31.56,-13.32,31.69,25.1,0.0,0.0,,7,long_word,
Werfer,11,10,12,11,62.09,66.4,69.25,70.27,24.7,18.42,29.01,29.82,21,23,64.14,69.74,21.51,28.73,10,8,9,10,1.7,9.88,-9.67,11.7,32.02,20.47,43.55,26.42,18,19,5.33,1.58,27.07,36.22,0.0,0.0,nature_based_human,6,short_word,
Werk,9,11,12,11,57.56,41.09,64.92,71.55,34.21,23.88,23.79,23.22,20,23,48.5,68.09,29.38,23.23,9,9,10,10,20.44,12.44,20.3,13.1,34.47,38.64,26.32,10.55,18,20,16.44,16.7,35.76,19.86,0.0,0.0,,4,short_word,
Werkstatt,11,9,12,11,75.18,73.22,84.5,83.0,16.73,11.22,16.47,24.11,20,23,74.3,83.78,14.19,20.01,9,9,8,12,15.22,4.78,20.5,15.08,28.83,34.33,17.43,18.29,18,20,10.0,17.25,31.22,17.69,0.0,0.0,,9,long_word,
Werkstoff,11,9,11,12,44.36,30.78,57.36,61.75,25.36,17.59,25.15,35.27,20,23,38.25,59.65,22.73,30.24,9,10,9,10,3.0,2.4,17.78,16.8,24.18,9.16,31.17,18.96,19,19,2.68,17.26,17.37,24.73,0.0,0.0,,9,long_word,
Wert,12,8,13,10,25.17,12.38,27.0,32.7,19.12,15.2,19.54,29.9,20,23,20.05,29.48,18.39,24.13,8,10,10,9,6.38,17.7,41.2,23.78,49.93,28.03,24.82,29.66,18,19,12.67,32.95,38.42,27.91,0.0,0.0,,4,short_word,
Wesen,11,9,11,12,28.36,33.11,42.82,53.17,28.66,24.61,35.41,30.97,20,23,30.5,48.22,26.33,32.83,8,10,10,9,7.38,12.7,11.5,17.22,20.51,32.71,25.47,24.36,18,19,10.33,14.21,27.33,24.43,0.0,0.0,,5,short_word,
Wespe,11,8,13,10,94.45,95.75,94.92,90.9,4.11,7.15,5.01,10.48,19,23,95.0,93.17,5.45,7.92,8,10,11,8,-6.5,-46.8,-32.73,-42.0,33.77,27.8,40.47,26.85,18,19,-28.89,-36.63,36.1,34.82,0.0,0.0,nature_based_non_human,5,short_word,
Weste,11,9,13,10,75.82,84.89,95.15,83.4,23.98,14.68,8.04,22.92,20,23,79.9,90.04,20.36,16.9,10,9,8,11,3.3,9.22,30.13,31.0,9.42,17.32,28.92,24.42,19,19,6.11,30.63,13.67,25.62,0.0,0.0,,5,short_word,
Wettbewerb,9,12,13,10,36.22,28.75,37.23,38.2,28.1,22.48,29.85,30.33,21,23,31.95,37.65,24.66,29.37,9,9,11,9,6.33,-24.44,13.36,21.67,37.35,35.26,13.16,23.64,18,20,-9.06,17.1,38.63,18.56,0.0,0.0,,10,long_word,
Wetter,12,8,12,11,54.17,57.63,70.42,71.0,30.86,30.03,26.54,29.91,20,23,55.55,70.7,29.78,27.55,10,9,10,9,19.3,16.44,13.4,33.11,25.86,20.39,14.21,27.18,19,19,17.95,22.74,22.83,23.06,0.0,0.0,nature_based_human,6,short_word,
Whisky,9,10,12,11,83.78,76.7,79.75,81.82,13.62,21.07,30.89,26.72,19,23,80.05,80.74,17.82,28.33,11,8,8,11,34.0,16.25,-13.25,-10.09,58.31,42.29,66.13,54.9,19,19,26.53,-11.42,51.63,58.12,0.0,0.0,,6,short_word,
Widder,11,10,12,11,68.64,84.9,87.25,87.09,26.53,12.63,21.3,16.11,21,23,76.38,87.17,22.2,18.57,11,8,9,10,12.91,16.75,30.22,20.4,16.53,33.01,29.87,28.7,19,19,14.53,25.05,24.07,28.88,0.0,0.0,nature_based_non_human,6,short_word,
Wiege,11,10,12,11,80.27,90.8,92.67,86.27,15.36,12.93,8.14,15.89,21,23,85.29,89.61,14.91,12.59,9,9,10,9,31.78,39.56,33.6,42.0,20.52,39.74,27.1,33.87,18,19,35.67,37.58,30.94,29.93,0.0,0.0,,5,short_word,
Wiese,10,10,15,8,74.4,93.5,94.87,85.13,16.61,5.19,7.66,14.69,20,23,83.95,91.48,15.48,11.34,9,9,10,9,56.44,47.33,53.0,46.44,27.04,25.15,20.34,26.8,18,19,51.89,49.89,25.76,23.18,0.0,0.0,,5,short_word,
Wiesel,8,12,11,12,77.63,68.58,91.27,73.42,19.54,18.48,10.52,31.42,20,23,72.2,81.96,18.95,25.04,9,9,8,11,14.67,13.78,29.0,17.82,27.63,25.09,48.74,27.83,18,19,14.22,22.53,25.61,37.23,0.0,0.0,nature_based_non_human,6,short_word,
Wigwam,10,9,13,10,81.9,72.44,73.54,62.5,20.43,23.28,25.89,28.21,19,23,77.42,68.74,21.75,26.88,11,7,8,10,38.73,29.0,19.38,13.6,27.92,43.2,40.24,20.68,18,18,34.94,16.17,33.78,30.03,0.04,0.04,,6,short_word,
Wikinger,10,11,13,10,81.8,86.55,82.0,68.1,21.79,13.3,20.82,34.2,21,23,84.29,75.96,17.55,27.65,10,8,11,8,1.5,32.38,26.82,4.88,39.55,38.84,46.71,15.8,18,19,15.22,17.58,41.21,37.86,0.0,0.0,nature_based_human,8,long_word,
Wildkatze,10,11,12,11,76.5,80.0,91.75,76.55,22.54,16.71,11.5,29.08,21,23,78.33,84.48,19.27,22.6,9,10,7,12,32.11,35.2,40.57,8.75,26.35,29.38,36.6,52.65,19,19,33.74,20.47,27.25,48.88,0.0,0.0,nature_based_non_human,9,long_word,
Wille,10,9,12,11,27.6,12.44,29.33,34.91,30.6,12.67,28.97,29.3,19,23,20.42,32.0,24.49,28.6,9,9,9,10,52.67,38.89,51.22,47.1,32.34,30.73,34.26,34.59,18,19,45.78,49.05,31.41,33.53,0.0,0.0,,5,short_word,
Wimpel,11,9,13,10,83.36,84.11,91.92,77.5,14.57,17.66,10.1,24.9,20,23,83.7,85.65,15.59,19.05,10,7,10,9,14.0,7.43,9.6,25.78,25.6,17.03,16.49,27.83,17,19,11.29,17.26,22.1,23.43,0.04,0.0,,6,short_word,
Wimper,11,8,10,11,79.82,92.25,87.5,90.0,26.11,8.36,28.68,16.3,19,21,85.05,88.81,21.11,22.46,10,9,10,9,28.9,29.0,6.5,26.11,27.22,29.89,31.04,26.22,19,19,28.95,15.79,27.7,29.81,0.04,0.04,,6,short_word,
Wind,8,11,12,10,63.38,59.09,68.83,63.2,33.56,25.17,33.35,30.64,19,22,60.89,66.27,28.19,31.52,10,8,10,10,41.0,37.38,7.5,5.6,39.31,35.82,43.98,33.74,18,20,39.39,6.55,36.74,38.17,0.0,0.0,,4,short_word,
Winde,9,9,12,11,70.44,60.11,64.67,63.55,26.92,24.94,33.02,30.61,18,23,65.28,64.13,25.73,31.17,10,8,9,10,9.2,26.25,-6.44,-2.6,19.79,40.86,43.04,35.43,18,19,16.78,-4.42,31.16,38.14,0.04,0.0,nature_based_non_human,5,short_word,plant
Windel,10,10,12,11,82.8,90.3,89.67,90.45,18.47,11.48,14.21,12.03,20,23,86.55,90.04,15.45,12.92,10,9,8,11,-14.4,-12.89,9.88,-9.91,32.45,35.55,31.0,45.55,19,19,-13.68,-1.58,33.0,40.34,0.0,0.0,,6,short_word,
Windhauch,11,9,10,13,48.27,51.11,48.6,61.54,33.41,26.08,32.05,32.02,20,23,49.55,55.91,29.6,31.98,11,7,10,9,38.91,38.0,30.2,38.89,25.6,28.17,29.51,25.17,18,19,38.56,34.32,25.8,27.14,0.0,0.0,,9,long_word,
Windmühle,10,10,13,10,82.7,95.6,95.08,88.0,24.49,4.72,5.33,14.81,20,23,89.15,92.0,18.39,10.87,10,8,10,9,32.7,38.38,48.5,55.44,13.2,31.42,24.45,34.82,18,19,35.22,51.79,22.52,29.16,0.0,0.0,,9,long_word,
Winkel,10,11,12,11,79.4,78.73,80.92,66.18,23.42,24.71,18.7,30.71,21,23,79.05,73.87,23.5,25.69,9,10,8,11,-0.33,-0.7,12.88,1.09,11.95,6.93,25.97,21.56,19,19,-0.53,6.05,9.35,23.59,0.0,0.0,,6,short_word,
Winter,10,10,12,10,48.2,54.8,81.0,75.3,39.65,31.84,15.95,24.39,20,22,51.5,78.41,35.17,19.92,11,8,9,10,-1.82,-3.13,-3.11,21.1,50.68,55.09,53.79,44.49,19,19,-2.37,9.63,51.07,49.29,0.0,0.0,,6,short_word,
Wippe,9,11,13,10,85.89,80.18,89.92,81.1,15.5,18.8,13.57,15.31,20,23,82.75,86.09,17.2,14.71,10,8,9,10,21.3,37.25,28.22,29.9,15.22,32.11,27.76,25.15,18,19,28.39,29.11,24.77,25.68,0.0,0.0,,5,short_word,
Wirkung,10,10,13,10,15.5,12.2,27.62,31.9,11.46,14.05,26.3,28.43,20,23,13.85,29.48,12.59,26.7,9,10,10,9,13.22,15.7,8.7,13.67,16.52,18.54,18.29,23.35,19,19,14.53,11.05,17.17,20.39,0.0,0.0,,7,long_word,
